"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Milestone.tsx", "TypeScript JSX", -10, -8, -3, -21
"Total", "-", -10, -8, -3, -21
