"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/Gallery.tsx", "TypeScript JSX", -26, 0, -22, -48
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/Calendar.tsx", "TypeScript JSX", -3, 0, -5, -8
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/CalendarMini.tsx", "TypeScript JSX", -30, 0, -8, -38
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/DailyHourView.tsx", "TypeScript JSX", -3, 0, -7, -10
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/HourView.tsx", "TypeScript JSX", -8, 0, -11, -19
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/AddItemForm.tsx", "TypeScript JSX", -8, 0, -1, -9
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/DragNDrop.tsx", "TypeScript JSX", -65, 0, -15, -80
"Total", "-", -143, 0, -69, -212
