"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/Calendar.tsx", "TypeScript JSX", -402, 0, -21, -423
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/DailyHourView.tsx", "TypeScript JSX", -218, 0, -33, -251
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/HourView.tsx", "TypeScript JSX", -208, 0, -38, -246
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/Chat.tsx", "TypeScript JSX", -2, 0, 0, -2
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/Message.tsx", "TypeScript JSX", 0, 0, -3, -3
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/SendMessage.tsx", "TypeScript JSX", 5, 0, 1, 6
"Total", "-", -825, 0, -94, -919
