"filename", "language", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/SlideShowMini.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 73
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/Calendar.tsx", "TypeScript JSX", 1575, 0, 0, 0, 0, 0, 0, 0, 0, 16, 103, 1694
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/CalendarMini.tsx", "TypeScript JSX", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 559
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/DailyHourView.tsx", "TypeScript JSX", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 273
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/HourView.tsx", "TypeScript JSX", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 265
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Dashboard.tsx", "TypeScript JSX", 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 511
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Milestone.tsx", "TypeScript JSX", 729, 0, 0, 0, 0, 0, 0, 0, 0, 210, 46, 985
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/MilestoneMini.tsx", "TypeScript JSX", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 349
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/AddItemForm.tsx", "TypeScript JSX", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 188
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/DragNDrop.tsx", "TypeScript JSX", 880, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76, 966
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/DragNDropMini.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 172
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/Todo.tsx", "TypeScript JSX", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 324
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/TodoDashboard.tsx", "TypeScript JSX", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 221
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/WeatherApp.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
