Date : 2023-05-11 15:57:12
Directory : /Users/casey/Documents/appworks/everyday
Total : 78 files,  34904 codes, 509 comments, 1140 blanks, all 36553 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/Todo.tsx                          | TypeScript JSX     |        283 |          0 |         32 |        315 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/TodoItems.tsx                     | TypeScript JSX     |        806 |          0 |         49 |        855 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Whiteboard/Giphy.tsx                   | TypeScript JSX     |         50 |          0 |          9 |         59 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Whiteboard/Whiteboard.tsx              | TypeScript JSX     |        577 |          0 |         43 |        620 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/CalendarWidget.tsx              | TypeScript JSX     |        474 |          0 |         36 |        510 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/ChatWidget/ChatWidget.tsx       | TypeScript JSX     |        104 |          0 |         15 |        119 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/ChatWidget/Message.tsx          | TypeScript JSX     |        144 |          0 |         19 |        163 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/FamilyWidget.tsx                | TypeScript JSX     |        232 |          0 |         21 |        253 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/GalleryWidget/GalleryWidget.tsx | TypeScript JSX     |        204 |          2 |         28 |        234 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/GalleryWidget/SlideShow.tsx     | TypeScript JSX     |         63 |          0 |          9 |         72 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/MilestoneWidget.tsx             | TypeScript JSX     |        254 |          0 |         21 |        275 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/SmartInputWidget.tsx            | TypeScript JSX     |        311 |          0 |         28 |        339 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/SuggestionWidget.tsx            | TypeScript JSX     |        161 |          0 |         17 |        178 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/TodoWidget/TodoItem.tsx         | TypeScript JSX     |        149 |          0 |         23 |        172 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/TodoWidget/TodoWidget.tsx       | TypeScript JSX     |        196 |          0 |         15 |        211 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/WeatherWidget.tsx               | TypeScript JSX     |         72 |          0 |         10 |         82 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/WhiteboardWidget.tsx            | TypeScript JSX     |        184 |          0 |         15 |        199 |
| /Users/casey/Documents/appworks/everyday/src/react-app-env.d.ts                                | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/casey/Documents/appworks/everyday/src/reportWebVitals.ts                                | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/casey/Documents/appworks/everyday/src/setupTests.ts                                     | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/casey/Documents/appworks/everyday/src/theme.tsx                                         | TypeScript JSX     |         34 |          0 |          3 |         37 |
| /Users/casey/Documents/appworks/everyday/src/utils/familySetupOptions.tsx                      | TypeScript JSX     |         90 |          0 |          7 |         97 |
| /Users/casey/Documents/appworks/everyday/tsconfig.json                                         | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                          |                    |     34,904 |        509 |      1,140 |     36,553 |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
