"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/Components/Selectors/CategorySelector.tsx", "TypeScript JSX", 50, 0, 6, 56
"/Users/casey/Documents/appworks/everyday/src/Components/Selectors/MemberSelector.tsx", "TypeScript JSX", 59, 0, 6, 65
"/Users/casey/Documents/appworks/everyday/src/pages/Family/FamilyForm.tsx", "TypeScript JSX", -35, 0, -4, -39
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/SmartInput.tsx", "TypeScript JSX", -75, 0, -7, -82
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Album/Gallery.tsx", "TypeScript JSX", -226, 0, -21, -247
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Album/UpdatePhoto.tsx", "TypeScript JSX", 341, 0, 20, 361
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/Calendar.tsx", "TypeScript JSX", 1, 0, 0, 1
"/Users/casey/Documents/appworks/everyday/src/utils/familySetupOptions.tsx", "TypeScript JSX", 41, 0, 2, 43
"Total", "-", 156, 0, 2, 158
