"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/Components/Login/Auth.tsx", "TypeScript JSX", -8, 0, 1, -7
"/Users/casey/Documents/appworks/everyday/src/Components/drawingtool.tsx", "TypeScript JSX", -18, 0, -6, -24
"/Users/casey/Documents/appworks/everyday/src/Components/drawingtoolMini.tsx", "TypeScript JSX", -13, 0, -3, -16
"/Users/casey/Documents/appworks/everyday/src/config/Context/authContext.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/casey/Documents/appworks/everyday/src/config/firebase.config.tsx", "TypeScript JSX", -2, 0, 1, -1
"/Users/casey/Documents/appworks/everyday/src/pages/AI/SmartInput.tsx", "TypeScript JSX", -56, 0, -18, -74
"/Users/casey/Documents/appworks/everyday/src/pages/AI/SmartInputMini.tsx", "TypeScript JSX", -11, 0, -2, -13
"Total", "-", -109, 0, -27, -136
