Date : 2023-05-10 18:03:40
Directory : /Users/casey/Documents/appworks/everyday
Total : 74 files,  35261 codes, 540 comments, 1240 blanks, all 37041 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     21,601 |          9 |          4 |     21,614 |
| TypeScript JSX     |         58 |     13,438 |        526 |      1,191 |     15,155 |
| HTML               |          2 |         69 |          0 |          4 |         73 |
| CSS                |          2 |         62 |          0 |         13 |         75 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| JavaScript         |          1 |         24 |          0 |          1 |         25 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         74 |     35,261 |        540 |      1,240 |     37,041 |
| . (Files)                                                                                  |          7 |     21,652 |          9 |         26 |     21,687 |
| public                                                                                     |          3 |         94 |          0 |          5 |         99 |
| src                                                                                        |         64 |     13,515 |        531 |      1,209 |     15,255 |
| src (Files)                                                                                |         10 |        188 |          5 |         29 |        222 |
| src/Components                                                                             |         14 |      1,549 |          1 |        150 |      1,700 |
| src/Components (Files)                                                                     |          4 |        613 |          0 |         66 |        679 |
| src/Components/Banner                                                                      |          1 |         35 |          0 |          5 |         40 |
| src/Components/Button                                                                      |          1 |        209 |          0 |         12 |        221 |
| src/Components/Login                                                                       |          4 |        230 |          0 |         27 |        257 |
| src/Components/Nav                                                                         |          3 |        422 |          1 |         34 |        457 |
| src/Components/Navbar                                                                      |          1 |         40 |          0 |          6 |         46 |
| src/config                                                                                 |          2 |        129 |          0 |         12 |        141 |
| src/config (Files)                                                                         |          1 |         18 |          0 |          1 |         19 |
| src/config/Context                                                                         |          1 |        111 |          0 |         11 |        122 |
| src/pages                                                                                  |         38 |     11,649 |        525 |      1,018 |     13,192 |
| src/pages/AI                                                                               |          5 |      1,436 |          0 |        125 |      1,561 |
| src/pages/Dashboard                                                                        |         20 |      7,693 |        496 |        678 |      8,867 |
| src/pages/Dashboard (Files)                                                                |          4 |      1,324 |        468 |        102 |      1,894 |
| src/pages/Dashboard/Album                                                                  |          4 |      1,413 |          2 |        149 |      1,564 |
| src/pages/Dashboard/Calendar                                                               |          4 |      2,494 |         16 |        206 |      2,716 |
| src/pages/Dashboard/Todo                                                                   |          5 |      1,617 |         10 |        155 |      1,782 |
| src/pages/Dashboard/Whiteboard                                                             |          3 |        845 |          0 |         66 |        911 |
| src/pages/Family                                                                           |         12 |      2,272 |         29 |        196 |      2,497 |
| src/pages/Login                                                                            |          1 |        248 |          0 |         19 |        267 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/casey/Documents/appworks/everyday/.eslintrc.js                                      | JavaScript         |         24 |          0 |          1 |         25 |
| /Users/casey/Documents/appworks/everyday/README.md                                         | Markdown           |         26 |          0 |         21 |         47 |
| /Users/casey/Documents/appworks/everyday/firebase.json                                     | JSON               |          8 |          9 |          0 |         17 |
| /Users/casey/Documents/appworks/everyday/firestore.indexes.json                            | JSON               |          4 |          0 |          1 |          5 |
| /Users/casey/Documents/appworks/everyday/package-lock.json                                 | JSON               |     21,463 |          0 |          1 |     21,464 |
| /Users/casey/Documents/appworks/everyday/package.json                                      | JSON               |        101 |          0 |          1 |        102 |
| /Users/casey/Documents/appworks/everyday/public/404.html                                   | HTML               |         32 |          0 |          2 |         34 |
| /Users/casey/Documents/appworks/everyday/public/index.html                                 | HTML               |         37 |          0 |          2 |         39 |
| /Users/casey/Documents/appworks/everyday/public/manifest.json                              | JSON               |         25 |          0 |          1 |         26 |
| /Users/casey/Documents/appworks/everyday/src/App.css                                       | CSS                |         33 |          0 |          6 |         39 |
| /Users/casey/Documents/appworks/everyday/src/App.test.tsx                                  | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/casey/Documents/appworks/everyday/src/App.tsx                                       | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /Users/casey/Documents/appworks/everyday/src/Components/Banner/Banner.tsx                  | TypeScript JSX     |         35 |          0 |          5 |         40 |
| /Users/casey/Documents/appworks/everyday/src/Components/Button/Button.tsx                  | TypeScript JSX     |        209 |          0 |         12 |        221 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/Auth.tsx                     | TypeScript JSX     |        121 |          0 |         15 |        136 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/LogOut.tsx                   | TypeScript JSX     |         29 |          0 |          4 |         33 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/SignIn.tsx                   | TypeScript JSX     |         40 |          0 |          4 |         44 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/SignInNav.tsx                | TypeScript JSX     |         40 |          0 |          4 |         44 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/Avatar.tsx                     | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/Navbar.tsx                     | TypeScript JSX     |        210 |          1 |         17 |        228 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/SideNav.tsx                    | TypeScript JSX     |        190 |          0 |         14 |        204 |
| /Users/casey/Documents/appworks/everyday/src/Components/Navbar/Navbar.tsx                  | TypeScript JSX     |         40 |          0 |          6 |         46 |
| /Users/casey/Documents/appworks/everyday/src/Components/drawingtool.tsx                    | TypeScript JSX     |        341 |          0 |         35 |        376 |
| /Users/casey/Documents/appworks/everyday/src/Components/drawingtoolMini.tsx                | TypeScript JSX     |        184 |          0 |         17 |        201 |
| /Users/casey/Documents/appworks/everyday/src/Components/layout.tsx                         | TypeScript JSX     |         25 |          0 |          4 |         29 |
| /Users/casey/Documents/appworks/everyday/src/Components/loading.tsx                        | TypeScript JSX     |         63 |          0 |         10 |         73 |
| /Users/casey/Documents/appworks/everyday/src/config/Context/authContext.tsx                | TypeScript JSX     |        111 |          0 |         11 |        122 |
| /Users/casey/Documents/appworks/everyday/src/config/firebase.config.tsx                    | TypeScript JSX     |         18 |          0 |          1 |         19 |
| /Users/casey/Documents/appworks/everyday/src/index.css                                     | CSS                |         29 |          0 |          7 |         36 |
| /Users/casey/Documents/appworks/everyday/src/index.tsx                                     | TypeScript JSX     |         42 |          0 |          2 |         44 |
| /Users/casey/Documents/appworks/everyday/src/logo.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /Users/casey/Documents/appworks/everyday/src/pages/AI/AI.tsx                               | TypeScript JSX     |         74 |          0 |          6 |         80 |
| /Users/casey/Documents/appworks/everyday/src/pages/AI/SmartInput.tsx                       | TypeScript JSX     |        498 |          0 |         43 |        541 |
| /Users/casey/Documents/appworks/everyday/src/pages/AI/SmartInputMini.tsx                   | TypeScript JSX     |        316 |          0 |         27 |        343 |
| /Users/casey/Documents/appworks/everyday/src/pages/AI/Suggestion.tsx                       | TypeScript JSX     |        379 |          0 |         35 |        414 |
| /Users/casey/Documents/appworks/everyday/src/pages/AI/SuggestionMini.tsx                   | TypeScript JSX     |        169 |          0 |         14 |        183 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/Gallery.tsx             | TypeScript JSX     |        777 |          0 |         51 |        828 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/GalleryMini.tsx         | TypeScript JSX     |        428 |          2 |         73 |        503 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/SlideShow.tsx           | TypeScript JSX     |        144 |          0 |         16 |        160 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Album/SlideShowMini.tsx       | TypeScript JSX     |         64 |          0 |          9 |         73 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/Calendar.tsx         | TypeScript JSX     |      1,572 |         16 |         98 |      1,686 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/CalendarMini.tsx     | TypeScript JSX     |        482 |          0 |         39 |        521 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/DailyHourView.tsx    | TypeScript JSX     |        230 |          0 |         33 |        263 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Calendar/HourView.tsx         | TypeScript JSX     |        210 |          0 |         36 |        246 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Dashboard.tsx                 | TypeScript JSX     |        480 |          0 |         31 |        511 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Milestone.tsx                 | TypeScript JSX     |        453 |        468 |         30 |        951 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/MilestoneMini.tsx             | TypeScript JSX     |        319 |          0 |         30 |        349 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/AddItemForm.tsx          | TypeScript JSX     |        159 |          0 |         20 |        179 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/DragNDrop.tsx            | TypeScript JSX     |        815 |         10 |         61 |        886 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/DragNDropMini.tsx        | TypeScript JSX     |        149 |          0 |         23 |        172 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/Todo.tsx                 | TypeScript JSX     |        291 |          0 |         33 |        324 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Todo/TodoDashboard.tsx        | TypeScript JSX     |        203 |          0 |         18 |        221 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/WeatherApp.tsx                | TypeScript JSX     |         72 |          0 |         11 |         83 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/Giphy.tsx          | TypeScript JSX     |         50 |          0 |          9 |         59 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/Whiteboard.tsx     | TypeScript JSX     |        598 |          0 |         42 |        640 |
| /Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/WhiteboardMini.tsx | TypeScript JSX     |        197 |          0 |         15 |        212 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/Chat.tsx                         | TypeScript JSX     |        135 |          0 |         14 |        149 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/ChatApp.tsx                      | TypeScript JSX     |         38 |          0 |          4 |         42 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/ChatMini.tsx                     | TypeScript JSX     |        106 |          0 |         15 |        121 |
