"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/Components/Card/Card.tsx", "TypeScript JSX", 53, 0, 6, 59
"/Users/casey/Documents/appworks/everyday/src/pages/Login/Welcome.tsx", "TypeScript JSX", -58, 0, -9, -67
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/AI.tsx", "TypeScript JSX", -14, 0, -1, -15
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/SmartInput.tsx", "TypeScript JSX", 2, 0, 1, 3
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/Suggestion.tsx", "TypeScript JSX", -10, 0, -10, -20
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Album/SlideShow.tsx", "TypeScript JSX", -45, 0, -7, -52
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Album/UpdatePhoto.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/Calendar.tsx", "TypeScript JSX", -36, 0, -7, -43
"Total", "-", -109, 0, -27, -136
