"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Dashboard.tsx", "TypeScript JSX", -3, 0, -1, -4
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Milestone.tsx", "TypeScript JSX", -11, 4, -6, -13
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/Todo.tsx", "TypeScript JSX", -2, 0, 0, -2
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/TodoItems.tsx", "TypeScript JSX", -12, 0, -7, -19
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Whiteboard/Giphy.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Whiteboard/Whiteboard.tsx", "TypeScript JSX", -11, 0, 0, -11
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/CalendarWidget.tsx", "TypeScript JSX", -297, 0, -15, -312
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/ChatWidget/Message.tsx", "TypeScript JSX", 4, 0, -2, 2
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/FamilyWidget.tsx", "TypeScript JSX", -21, 0, -4, -25
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/GalleryWidget/GalleryWidget.tsx", "TypeScript JSX", -21, -2, -10, -33
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/GalleryWidget/SlideShow.tsx", "TypeScript JSX", 1, 0, 0, 1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/MilestoneWidget.tsx", "TypeScript JSX", -10, 0, 0, -10
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/SmartInputWidget.tsx", "TypeScript JSX", 0, 0, 1, 1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/SuggestionWidget.tsx", "TypeScript JSX", -3, 0, -2, -5
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/TodoWidget/TodoItem.tsx", "TypeScript JSX", 0, 0, -5, -5
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/WeatherWidget.tsx", "TypeScript JSX", 6, 0, 0, 6
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Widget/WhiteboardWidget.tsx", "TypeScript JSX", -11, 0, -1, -12
"Total", "-", -392, 2, -52, -442
